Id,Prediction
17000,0
17001,1
17002,1
17003,1
17004,1
17005,0
17006,1
17007,0
17008,0
17009,1
17010,0
17011,0
17012,0
17013,1
17014,1
17015,1
17016,0
17017,0
17018,1
17019,0
17020,0
17021,1
17022,0
17023,1
17024,0
17025,0
17026,0
17027,1
17028,0
17029,0
17030,0
17031,1
17032,0
17033,0
17034,1
17035,0
17036,1
17037,0
17038,1
17039,0
17040,0
17041,1
17042,1
17043,0
17044,1
17045,0
17046,1
17047,0
17048,0
17049,1
17050,0
17051,1
17052,0
17053,1
17054,0
17055,1
17056,1
17057,1
17058,1
17059,1
17060,1
17061,0
17062,1
17063,0
17064,1
17065,0
17066,1
17067,0
17068,1
17069,1
17070,0
17071,0
17072,0
17073,1
17074,0
17075,0
17076,1
17077,0
17078,1
17079,0
17080,0
17081,1
17082,0
17083,0
17084,0
17085,1
17086,0
17087,1
17088,1
17089,0
17090,0
17091,1
17092,0
17093,0
17094,1
17095,1
17096,0
17097,0
17098,0
17099,1
17100,1
17101,1
17102,1
17103,0
17104,0
17105,1
17106,1
17107,0
17108,1
17109,0
17110,0
17111,1
17112,0
17113,1
17114,0
17115,1
17116,1
17117,1
17118,0
17119,0
17120,1
17121,1
17122,1
17123,1
17124,0
17125,1
17126,1
17127,1
17128,0
17129,0
17130,0
17131,1
17132,1
17133,0
17134,1
17135,1
17136,0
17137,1
17138,0
17139,1
17140,1
17141,1
17142,0
17143,0
17144,0
17145,0
17146,1
17147,1
17148,0
17149,0
17150,0
17151,0
17152,0
17153,1
17154,1
17155,1
17156,1
17157,1
17158,1
17159,1
17160,1
17161,0
17162,0
17163,1
17164,0
17165,0
17166,1
17167,1
17168,0
17169,0
17170,1
17171,0
17172,1
17173,0
17174,0
17175,0
17176,0
17177,0
17178,1
17179,0
17180,0
17181,1
17182,0
17183,1
17184,0
17185,0
17186,1
17187,0
17188,0
17189,0
17190,0
17191,0
17192,0
17193,1
17194,1
17195,1
17196,1
17197,1
17198,0
17199,1
17200,0
17201,1
17202,1
17203,1
17204,1
17205,1
17206,1
17207,1
17208,1
17209,1
17210,1
17211,1
17212,1
17213,0
17214,1
17215,0
17216,0
17217,0
17218,1
17219,0
17220,1
17221,1
17222,0
17223,1
17224,1
17225,1
17226,1
17227,1
17228,1
17229,0
17230,1
17231,1
17232,0
17233,0
17234,0
17235,1
17236,1
17237,1
17238,1
17239,1
17240,0
17241,1
17242,1
17243,0
17244,0
17245,1
17246,0
17247,1
17248,0
17249,1
17250,1
17251,1
17252,0
17253,0
17254,1
17255,0
17256,1
17257,1
17258,0
17259,0
17260,0
17261,0
17262,0
17263,1
17264,1
17265,0
17266,0
17267,1
17268,0
17269,1
17270,1
17271,1
17272,0
17273,1
17274,0
17275,0
17276,0
17277,1
17278,1
17279,0
17280,1
17281,0
17282,1
17283,0
17284,1
17285,1
17286,1
17287,0
17288,1
17289,1
17290,0
17291,1
17292,0
17293,0
17294,1
17295,1
17296,1
17297,1
17298,1
17299,1
17300,1
17301,0
17302,0
17303,0
17304,1
17305,0
17306,1
17307,1
17308,0
17309,0
17310,0
17311,0
17312,1
17313,1
17314,1
17315,0
17316,1
17317,1
17318,1
17319,1
17320,0
17321,1
17322,1
17323,1
17324,0
17325,1
17326,0
17327,0
17328,0
17329,1
17330,1
17331,1
17332,1
17333,1
17334,0
17335,1
17336,0
17337,0
17338,1
17339,1
17340,0
17341,1
17342,1
17343,1
17344,1
17345,0
17346,1
17347,0
17348,0
17349,0
17350,1
17351,1
17352,0
17353,1
17354,1
17355,0
17356,0
17357,1
17358,0
17359,1
17360,1
17361,0
17362,1
17363,1
17364,1
17365,1
17366,0
17367,1
17368,1
17369,1
17370,1
17371,1
17372,0
17373,1
17374,0
17375,1
17376,0
17377,0
17378,0
17379,1
17380,1
17381,1
17382,1
17383,0
17384,1
17385,0
17386,0
17387,0
17388,0
17389,1
17390,0
17391,0
17392,1
17393,1
17394,1
17395,1
17396,1
17397,0
17398,0
17399,1
17400,0
17401,0
17402,1
17403,1
17404,0
17405,1
17406,1
17407,0
17408,1
17409,0
17410,1
17411,0
17412,1
17413,1
17414,1
17415,1
17416,0
17417,0
17418,0
17419,1
17420,0
17421,1
17422,0
17423,0
17424,1
17425,0
17426,0
17427,0
17428,1
17429,0
17430,0
17431,0
17432,1
17433,0
17434,1
17435,0
17436,1
17437,0
17438,0
17439,1
17440,1
17441,0
17442,0
17443,1
17444,0
17445,0
17446,1
17447,1
17448,0
17449,0
17450,1
17451,1
17452,1
17453,1
17454,1
17455,1
17456,1
17457,1
17458,1
17459,1
17460,1
17461,0
17462,0
17463,0
17464,1
17465,1
17466,1
17467,1
17468,1
17469,1
17470,0
17471,1
17472,1
17473,1
17474,0
17475,1
17476,0
17477,0
17478,1
17479,1
17480,0
17481,1
17482,1
17483,1
17484,1
17485,1
17486,0
17487,0
17488,1
17489,1
17490,1
17491,1
17492,1
17493,1
17494,1
17495,0
17496,1
17497,1
17498,1
17499,0
17500,1
17501,1
17502,1
17503,0
17504,1
17505,1
17506,1
17507,1
17508,0
17509,1
17510,1
17511,1
17512,1
17513,0
17514,1
17515,1
17516,0
17517,0
17518,0
17519,1
17520,1
17521,0
17522,1
17523,0
17524,1
17525,0
17526,1
17527,0
17528,0
17529,0
17530,0
17531,1
17532,1
17533,1
17534,0
17535,0
17536,0
17537,0
17538,1
17539,0
17540,0
17541,0
17542,1
17543,0
17544,1
17545,0
17546,0
17547,0
17548,0
17549,1
17550,0
17551,1
17552,0
17553,0
17554,0
17555,0
17556,0
17557,1
17558,1
17559,1
17560,1
17561,1
17562,1
17563,0
17564,1
17565,0
17566,0
17567,1
17568,0
17569,0
17570,0
17571,1
17572,1
17573,1
17574,1
17575,1
17576,0
17577,1
17578,1
17579,0
17580,1
17581,1
17582,0
17583,0
17584,0
17585,1
17586,1
17587,0
17588,1
17589,1
17590,1
17591,1
17592,1
17593,1
18000,1
18001,1
18002,1
18003,1
18004,0
18005,1
18006,0
18007,0
18008,1
18009,1
18010,0
18011,1
18012,1
18013,0
18014,0
18015,0
18016,1
18017,0
18018,1
18019,1
18020,1
18021,1
18022,1
18023,0
18024,1
18025,1
18026,1
18027,1
18028,0
18029,1
18030,0
18031,1
18032,1
18033,0
18034,1
18035,1
18036,1
18037,1
18038,0
18039,1
18040,1
18041,0
18042,1
18043,0
18044,1
18045,0
18046,1
18047,0
18048,1
18049,0
18050,1
18051,1
18052,0
18053,1
18054,1
18055,1
18056,0
18057,1
18058,0
18059,1
18060,1
18061,0
18062,0
18063,0
18064,1
18065,1
18066,0
18067,0
18068,1
18069,0
18070,0
18071,0
18072,1
18073,1
18074,1
18075,1
18076,1
18077,1
18078,1
18079,0
18080,1
18081,0
18082,0
18083,0
18084,1
18085,0
18086,0
18087,0
18088,1
18089,1
18090,1
18091,1
18092,1
18093,1
18094,1
18095,1
18096,0
18097,1
18098,1
18099,1
18100,1
18101,1
18102,1
18103,0
18104,1
18105,1
18106,0
18107,1
18108,1
18109,0
18110,0
18111,1
18112,0
18113,0
18114,0
18115,1
18116,1
18117,0
18118,1
18119,1
18120,1
18121,0
18122,1
18123,1
18124,1
18125,1
18126,1
18127,0
18128,1
18129,0
18130,1
18131,1
18132,1
18133,1
18134,0
18135,1
18136,1
18137,1
18138,0
18139,1
18140,1
18141,1
18142,1
18143,1
18144,0
18145,1
18146,1
18147,1
18148,0
18149,1
18150,0
18151,0
18152,1
18153,1
18154,1
18155,1
18156,1
18157,0
18158,1
18159,0
18160,1
18161,1
18162,0
18163,1
18164,0
18165,0
18166,0
18167,1
18168,0
18169,1
18170,0
18171,1
18172,1
18173,0
18174,0
18175,0
18176,1
18177,1
18178,1
18179,0
18180,1
18181,1
18182,1
18183,0
18184,1
18185,0
18186,1
18187,0
18188,1
18189,0
18190,0
18191,1
18192,1
